Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Hand-Painted Wooden Watch,hand-painted-wooden-watch,"Lightweight handcrafted wooden watch with a hand-painted floral motif dial and natural wood strap. One-of-a-kind artisanal finish for the free-spirited wearer.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Wooden Watch,"Watch, Analog, Wooden, Handcrafted, Artisanal, Casual, Festive, Floral, Natural, Eco-Friendly, Accessories, Unisex, Ethnic",TRUE,Active,IDW-001-NAT,,Color,Natural Wood,,,,,,,,2799.00,3999.00,1260.00,TRUE,,,,,,shopify,30,DENY,80,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Hand-Painted+Wooden+Watch,1,Hand-Painted Wooden Watch - Natural Wood,,FALSE,Hand-Painted Wooden Watch - Indie by Curio,Handcrafted wooden watch with hand-painted floral dial. Artisanal everyday accessory from Indie by Curio.,natural; brown,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),IDW-001-NAT,Wooden Watch,New,New,FALSE,,,,,
,hand-painted-wooden-watch,,,,,,,,IDW-001-EBO,,,Ebony Dark,,,,,,,,2799.00,3999.00,1260.00,TRUE,,,,,,shopify,30,DENY,80,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Brass Vintage Pocket Watch,brass-vintage-pocket-watch,"Heirloom-style brass pocket watch with an engraved floral case and a smooth open-face Roman numeral dial. Chain-fitted and presentation-boxed.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Pocket Watch,"Watch, Pocket Watch, Brass, Vintage, Heritage, Festive, Wedding, Formal, Artisanal, Collectible, Accessories, Unisex, Gift, Office Outfit, Complete Outfit",TRUE,Active,IDW-002-BRS,,Color,Antique Brass,,,,,,,,3499.00,4999.00,1575.00,TRUE,,,,,,shopify,30,DENY,110,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Brass+Vintage+Pocket+Watch,1,Brass Vintage Pocket Watch - Antique Brass,,FALSE,Brass Vintage Pocket Watch - Indie by Curio,Heirloom brass pocket watch with engraved floral case. Perfect festive gift from Indie by Curio.,brass; gold,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),IDW-002-BRS,Pocket Watch,New,New,FALSE,,,,,
,brass-vintage-pocket-watch,,,,,,,,IDW-002-COP,,,Copper Patina,,,,,,,,3499.00,4999.00,1575.00,TRUE,,,,,,shopify,30,DENY,110,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Handcrafted Leather Strap Watch,handcrafted-leather-strap-watch,"Rugged analog watch with a hand-stitched full-grain leather strap and a minimalist open-face dial. Distressed finish gives each piece a unique character.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Analog Watch,"Watch, Analog, Leather, Handcrafted, Artisanal, Casual, Formal, Distressed, Brown, Tan, Accessories, Men, Heritage, Office Outfit, Complete Outfit",TRUE,Active,IDW-003-BRN,,Color,Distressed Brown,,,,,,,,2999.00,3999.00,1350.00,TRUE,,,,,,shopify,30,DENY,95,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Handcrafted+Leather+Strap+Watch,1,Handcrafted Leather Strap Watch - Distressed Brown,,FALSE,Handcrafted Leather Strap Watch - Indie by Curio,Handcrafted full-grain leather strap analog watch. Distressed artisanal finish from Indie by Curio.,brown; tan,Apparel & Accessories > Jewelry > Watches,Male,Adult (13+ years old),IDW-003-BRN,Analog Watch,New,New,FALSE,,,,,
,handcrafted-leather-strap-watch,,,,,,,,IDW-003-TAN,,,Tan Cognac,,,,,,,,2999.00,3999.00,1350.00,TRUE,,,,,,shopify,30,DENY,95,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Block Print Fabric Dial Watch,block-print-fabric-dial-watch,"Statement watch featuring a hand block-printed cotton fabric inlay on the dial, paired with a matching Ajrakh-print fabric strap. Wearable art for everyday.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Analog Watch,"Watch, Analog, Block Print, Fabric, Ajrakh, Artisanal, Handcrafted, Casual, Festive, Ethnic, Accessories, Unisex, Statement",TRUE,Active,IDW-004-IND,,Color,Indigo Block Print,,,,,,,,3199.00,4499.00,1440.00,TRUE,,,,,,shopify,30,DENY,75,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Block+Print+Fabric+Dial+Watch,1,Block Print Fabric Dial Watch - Indigo Block Print,,FALSE,Block Print Fabric Dial Watch - Indie by Curio,Hand block-print fabric dial watch with Ajrakh strap. Wearable artisan craft from Indie by Curio.,indigo; blue,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),IDW-004-IND,Analog Watch,New,New,FALSE,,,,,
,block-print-fabric-dial-watch,,,,,,,,IDW-004-MUS,,,Mustard Floral,,,,,,,,3199.00,4499.00,1440.00,TRUE,,,,,,shopify,30,DENY,75,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Oxidised Silver Tribal Watch,oxidised-silver-tribal-watch,"Bold analog watch with an oxidised silver case featuring hand-engraved tribal motifs and a black genuine leather strap. Heavy and commanding on the wrist.",Indie by Curio,Apparel & Accessories > Jewelry > Watches,Analog Watch,"Watch, Analog, Oxidised Silver, Tribal, Ethnic, Handcrafted, Artisanal, Casual, Festive, Statement, Accessories, Women, Bohemian, Complete Outfit",TRUE,Active,IDW-005-OXS,,Color,Oxidised Silver,,,,,,,,3799.00,4999.00,1710.00,TRUE,,,,,,shopify,30,DENY,130,g,TRUE,manual,https://placehold.co/600x600/78350F/ffffff?text=Oxidised+Silver+Tribal+Watch,1,Oxidised Silver Tribal Watch - Oxidised Silver,,FALSE,Oxidised Silver Tribal Watch - Indie by Curio,Oxidised silver tribal watch with hand-engraved motifs. Ethnic statement piece from Indie by Curio.,silver; black,Apparel & Accessories > Jewelry > Watches,Female,Adult (13+ years old),IDW-005-OXS,Analog Watch,New,New,FALSE,,,,,
,oxidised-silver-tribal-watch,,,,,,,,IDW-005-GNM,,,Gunmetal,,,,,,,,3799.00,4999.00,1710.00,TRUE,,,,,,shopify,30,DENY,130,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
