Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Minimalist Silver Mesh Watch,minimalist-silver-mesh-watch,Ultra-thin analog watch with a clean white dial and premium stainless steel mesh strap. Effortlessly transitions from office to casual evenings.,Nova by Curio,Apparel & Accessories > Jewelry > Watches,Analog Watch,"Watch, Analog, Casual, Formal, Office, Minimal, Silver, Mesh Strap, Stainless Steel, Accessories, Unisex, Everyday, Office Outfit, Complete Outfit",TRUE,Active,NVW-001-SIL,,Color,Silver Mesh,,,,,,,,3499,4499,1575,TRUE,,,,,,shopify,30,DENY,120,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Minimalist+Silver+Mesh+Watch,1,Minimalist Silver Mesh Watch - Silver Mesh,,FALSE,Minimalist Silver Mesh Watch - Nova by Curio,Shop the minimalist silver mesh analog watch from Nova. Ultra-thin design for office and everyday wear.,silver,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),NVW-001-SIL,Analog Watch,New,New,FALSE,,,,,
,minimalist-silver-mesh-watch,,,,,,,,NVW-001-BLK,,,Black Mesh,,,,,,,,3499,4499,1575,TRUE,,,,,,shopify,30,DENY,120,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Rose Gold Chronograph Watch,rose-gold-chronograph-watch,Bold rose gold chronograph with a multi-register dial and genuine leather strap. A statement piece built for formal occasions and festive events.,Nova by Curio,Apparel & Accessories > Jewelry > Watches,Chronograph Watch,"Watch, Chronograph, Formal, Office, Premium, Rose Gold, Leather Strap, Statement, Accessories, Women, Elegant, Festive, Wedding, Office Outfit, Complete Outfit",TRUE,Active,NVW-002-RGD,,Color,Rose Gold,,,,,,,,5999,7499,2700,TRUE,,,,,,shopify,30,DENY,140,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Rose+Gold+Chronograph+Watch,1,Rose Gold Chronograph Watch - Rose Gold,,FALSE,Rose Gold Chronograph Watch - Nova by Curio,Shop the rose gold chronograph watch from Nova. Statement piece for formal occasions and festive wear.,rose gold,Apparel & Accessories > Jewelry > Watches,Female,Adult (13+ years old),NVW-002-RGD,Chronograph Watch,New,New,FALSE,,,,,
,rose-gold-chronograph-watch,,,,,,,,NVW-002-CGD,,,Champagne Gold,,,,,,,,5999,7499,2700,TRUE,,,,,,shopify,30,DENY,140,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Smart Fitness Watch,smart-fitness-watch,Feature-packed smartwatch with continuous heart rate monitoring and a vivid AMOLED display. Durable silicone strap for all-day active wear.,Nova by Curio,Apparel & Accessories > Jewelry > Watches,Smartwatch,"Watch, Smartwatch, Digital, Sporty, Casual, Fitness, Tech, Silicone Strap, Black, Grey, Accessories, Unisex, Athletic, Modern",TRUE,Active,NVW-003-BLK,,Color,Midnight Black,,,,,,,,6999,8999,3150,TRUE,,,,,,shopify,30,DENY,45,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Smart+Fitness+Watch,1,Smart Fitness Watch - Midnight Black,,FALSE,Smart Fitness Watch - Nova by Curio,Smart fitness watch with heart rate monitor and AMOLED display. Shop now at Nova by Curio.,black,Apparel & Accessories > Jewelry > Watches,Unisex,Adult (13+ years old),NVW-003-BLK,Smartwatch,New,New,FALSE,,,,,
,smart-fitness-watch,,,,,,,,NVW-003-GRY,,,Slate Grey,,,,,,,,6999,8999,3150,TRUE,,,,,,shopify,30,DENY,45,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Matte Black Dive Watch,matte-black-dive-watch,"Water-resistant matte black dive watch with a unidirectional rotating bezel and screw-down crown. Built for adventure, styled for everyday.",Nova by Curio,Apparel & Accessories > Jewelry > Watches,Dive Watch,"Watch, Analog, Sporty, Casual, Dive, Matte Black, Rubber Strap, Water Resistant, Accessories, Men, Athletic",TRUE,Active,NVW-004-BLK,,Color,Matte Black,,,,,,,,3999,4999,1800,TRUE,,,,,,shopify,30,DENY,150,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Matte+Black+Dive+Watch,1,Matte Black Dive Watch - Matte Black,,FALSE,Matte Black Dive Watch - Nova by Curio,Matte black water-resistant dive watch with rotating bezel. Shop at Nova by Curio.,black,Apparel & Accessories > Jewelry > Watches,Male,Adult (13+ years old),NVW-004-BLK,Dive Watch,New,New,FALSE,,,,,
,matte-black-dive-watch,,,,,,,,NVW-004-BLU,,,Steel Blue,,,,,,,,3999,4999,1800,TRUE,,,,,,shopify,30,DENY,150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Marble Dial Statement Watch,marble-dial-statement-watch,Exquisite watch featuring a genuine marble dial paired with a supple leather strap. Two elegant colorways for effortless sophistication.,Nova by Curio,Apparel & Accessories > Jewelry > Watches,Statement Watch,"Watch, Analog, Formal, Elegant, Marble, White, Grey, Leather Strap, Statement, Accessories, Women, Chic, Premium, Office Outfit, Complete Outfit",TRUE,Active,NVW-005-WHT,,Color,White Marble,,,,,,,,4499,5999,2025,TRUE,,,,,,shopify,30,DENY,130,g,TRUE,manual,https://placehold.co/600x600/4C1D95/ffffff?text=Marble+Dial+Statement+Watch,1,Marble Dial Statement Watch - White Marble,,FALSE,Marble Dial Statement Watch - Nova by Curio,Genuine marble dial statement watch with leather strap. Elegant colorways for everyday sophistication.,white; grey,Apparel & Accessories > Jewelry > Watches,Female,Adult (13+ years old),NVW-005-WHT,Statement Watch,New,New,FALSE,,,,,
,marble-dial-statement-watch,,,,,,,,NVW-005-GRY,,,Grey Marble,,,,,,,,4499,5999,2025,TRUE,,,,,,shopify,30,DENY,130,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
